Parcels,Sensory,Association,Association_PMM_VMM,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRG3,SST,GRIN3A,PVALB
1,1,0,0,-2.62462,2.504,-2.26967,2.09114,-2.80127,1.00272,-1.91942,-2.16726,1.54702
2,1,0,0,-0.702059,1.2919,-0.656797,-0.199328,-0.620166,-0.748436,-1.37954,-0.870997,0.275264
3,1,0,0,-1.3461,2.06737,-1.61937,1.53048,-0.94988,1.13425,-1.57195,-1.30064,0.954689
4,1,0,0,-2.42793,2.42714,-1.83908,1.20164,-2.04709,2.39504,-1.98478,-1.91796,1.52855
5,1,0,0,-2.10543,1.96845,-1.75059,1.57707,-1.85866,0.471581,-1.86361,-1.82363,1.07838
6,1,0,0,-1.84227,1.31323,-1.49536,1.46759,-1.0896,0.726441,-1.79082,-1.54185,0.784169
7,1,0,0,-1.44731,1.10585,-1.13616,1.20015,-1.05096,-0.72538,-1.41404,-1.3444,0.360671
8,1,0,0,-0.562578,0.427742,-0.909149,0.178478,-1.3162,-0.23179,-0.567754,-0.506585,1.1535
9,1,0,0,-1.0224,0.970456,-0.975311,0.167428,-1.22256,0.286334,-0.128014,-0.308213,1.43893
10,0,1,1,0.528885,-0.42877,-0.165791,-0.79277,-0.0588794,0.0511587,0.294927,0.367445,0.563648
11,0,1,1,1.05396,0.00314872,-0.319099,-0.0861733,-0.349661,0.22771,0.0873581,0.324927,0.449028
12,0,1,1,0.862227,-0.0669541,-0.292455,0.0538265,-0.379847,0.406536,-0.180924,0.373318,0.669885
13,1,0,0,-1.47911,1.46726,-1.58851,2.05207,-1.67434,0.678129,-2.07187,-1.74836,0.778077
14,0,1,1,-0.362183,-0.276655,0.16097,-0.888801,-0.174471,-0.203982,0.556005,-0.018496,-0.0979201
15,0,1,1,-0.629055,1.71971,-0.823277,1.34187,-0.777346,0.318178,-0.979059,-0.982083,0.619977
16,1,0,0,-0.411435,0.68936,-1.30474,1.79024,-1.03303,-2.1014,-0.703765,-0.903612,0.766602
17,1,0,0,-0.711061,0.754413,-1.45145,1.5729,-0.724039,-2.86138,-1.18839,-1.17089,0.469856
18,1,0,0,-0.863721,0.28791,-0.423506,0.218262,-0.0434931,-0.610005,-0.217405,-0.513072,-0.0115507
19,1,0,0,-0.747582,0.589658,-1.5631,1.2414,-2.11188,-1.57115,-1.65357,-1.67439,0.088747
20,1,0,0,-0.98957,0.559926,-1.14286,0.660398,-1.16476,0.976397,-1.02819,-1.68596,0.5456
21,1,0,0,-1.35495,0.775304,-1.38546,1.75975,-1.3926,1.72574,-1.2783,-1.80772,0.673048
22,1,0,0,-1.24682,1.20382,-1.35556,1.52399,-0.840463,0.547484,-0.908046,-1.29888,0.819135
23,1,0,0,-0.72058,1.11836,-0.719203,0.404298,-0.476173,-0.420535,-1.14865,-0.950986,0.307052
24,1,0,0,-1.0982,0.233796,0.183418,-0.195529,-0.156934,1.50369,0.268859,-0.322061,0.39938
25,0,1,1,0.192526,0.143554,-0.094175,0.655017,-0.0265219,0.232568,-0.0863394,-0.268681,0.132091
26,0,1,1,0.673978,-0.439508,0.384977,-0.636388,0.262849,-0.388581,0.0360068,0.259959,0.211421
27,0,0,1,-0.723994,0.942761,-0.567634,-0.0876924,0.668524,-1.45956,0.156205,-0.429003,0.0573129
28,0,1,1,0.310317,0.139976,-0.238271,0.491725,-0.177019,-0.254883,-0.689348,-0.286168,0.07393
29,0,1,1,-0.513864,0.639873,-0.671869,-0.0847417,-0.330329,0.173213,-0.740426,-0.903063,0.606823
30,0,1,1,-0.736111,1.45056,-0.571032,-0.49318,-0.204207,-0.087602,-1.08898,-0.934798,0.267752
31,0,1,1,-0.38068,1.00088,0.23147,-0.136047,0.394643,1.03259,-0.12471,-0.319795,-0.00204123
32,0,1,1,0.354297,0.154217,0.715803,0.250956,0.62727,-0.721362,0.530471,0.207144,-0.713649
33,0,1,1,-0.372279,1.05827,0.326087,-0.876677,0.338106,0.0514686,-0.49648,-0.319315,-0.0546924
34,0,1,1,-0.750341,-0.314788,-0.352974,-1.35458,0.304566,-0.51162,0.884285,-0.276029,0.108314
35,0,1,1,-0.405814,0.777979,-0.441437,-0.994052,0.22846,-0.98553,0.220649,-0.311018,-0.0777965
36,1,0,0,-0.287604,0.342918,-0.779213,0.238057,-1.02906,0.133537,-0.789514,-0.869731,0.933631
37,0,1,1,-0.168867,0.319849,0.045205,-0.569804,0.209456,0.0251845,-0.041928,-0.124198,-0.115555
38,0,1,1,0.445616,-0.323121,0.320112,1.32955,0.664166,-0.762377,1.36032,0.627777,-0.440611
39,1,0,0,-0.204003,0.263398,-0.808652,0.109593,-0.0775412,-0.775951,-0.0389916,-0.512645,0.32026
40,1,0,0,0.0311729,-0.0451065,0.227594,-1.26959,0.0950258,-0.516111,0.209152,0.651362,0.166408
41,1,0,0,1.05934,-0.561694,1.38658,-0.320237,0.742795,-1.73579,0.459576,1.4534,-0.878434
42,1,0,0,-0.137084,0.747508,-0.933754,1.0387,0.0386605,-1.13283,-0.990571,-0.830106,0.268116
43,0,1,1,0.810363,-0.571715,0.562119,-1.28628,0.236495,0.28357,-0.372237,0.86925,0.11521
44,0,1,1,1.1264,-0.551106,0.306104,-2.06266,-0.0739396,-0.986721,0.137258,0.512245,0.105676
45,0,1,1,0.301272,0.616522,-0.523944,0.639694,0.370017,0.0148467,-1.05255,-0.583485,0.270728
46,0,1,1,-0.387615,0.685924,-0.817861,0.785027,-0.149564,0.236591,-0.976474,-0.866884,0.757205
47,1,0,0,-0.240029,0.620651,-0.810754,1.05153,0.151068,-1.33595,-0.460463,-0.690253,0.809308
48,1,0,0,0.0913394,1.31946,-0.809853,1.52609,0.0589642,-0.26859,-1.38544,-0.505968,0.867212
49,1,0,0,0.315677,1.27411,-0.569951,1.59964,0.416328,0.899693,-1.43609,-0.55146,0.697742
50,0,1,1,-0.701523,0.235459,-1.07262,0.814551,-0.493517,-0.897534,-1.24605,-1.14223,0.553742
51,1,0,0,-1.09697,-0.364427,-0.968207,0.359455,-0.579607,0.0232045,-0.201045,-1.09081,0.881657
52,1,0,0,-0.354013,-0.502945,-0.531087,0.432318,0.148268,-0.482396,-0.149098,-1.04279,0.195014
53,1,0,0,-0.814885,0.609495,-1.0214,0.878306,-1.27456,-0.458925,-0.290798,-0.555798,1.33176
54,1,0,0,-0.255602,-0.355819,-0.617068,-1.46402,-1.05188,0.464105,-0.981188,-0.505021,1.00212
55,1,0,0,0.462643,-0.512949,-0.111438,-0.314446,-0.0383866,-0.633337,-0.403889,0.329588,0.649096
56,1,0,0,1.01909,-0.636858,-0.188498,0.330804,-0.684393,0.844899,1.05225,0.288436,0.648201
57,0,1,1,1.58584,-0.587948,1.30629,-1.76039,1.19158,-1.82759,1.24506,1.74556,-0.965084
58,0,1,1,1.57297,-2.11108,1.12503,-1.66559,1.1159,-1.93752,1.33189,0.98537,-1.90615
59,0,1,1,1.3164,-2.28165,1.61091,-2.06165,1.51098,-0.435468,3.51356,0.985891,-2.02493
60,0,1,1,1.84707,-0.339863,1.26774,-2.30501,0.874041,0.108053,1.45938,2.08193,-0.511289
61,0,1,1,1.51445,-0.736463,2.28534,-1.78025,1.54299,0.00548574,2.05931,1.76456,-2.57039
62,0,1,1,1.11718,-1.58156,1.59463,-0.953568,0.711473,0.103206,1.07235,1.39059,-1.00146
63,0,1,1,1.02694,-0.274394,1.14544,-1.38532,0.40762,1.05405,0.392553,1.11727,-0.0895801
64,0,1,1,1.51131,-0.638611,1.85243,-2.02459,1.57378,0.829972,1.90828,1.738,-0.99844
65,0,1,1,0.841159,-0.515511,1.21591,-1.13921,1.14337,-0.254594,1.05263,1.19713,-0.926915
66,0,1,1,1.14125,1.14514,1.143,-1.44223,0.426932,1.46494,0.575206,1.29174,-0.267208
67,0,1,1,0.767618,-1.58072,-0.0049076,-0.96818,-0.552844,0.556962,-0.0283531,0.0482968,0.481293
68,0,1,1,1.03816,0.0139813,0.406987,-1.14109,0.508847,0.835868,-0.546209,0.928867,0.0776162
69,0,1,1,1.11237,-0.0886497,1.34188,-1.09519,1.36683,0.544691,1.31824,1.43581,-0.53422
70,0,1,1,0.910986,-0.441926,0.595656,-0.859121,0.52537,0.894229,0.0712424,0.543172,0.030075
71,0,1,1,0.522515,-0.470303,0.259912,-1.13797,0.341143,0.247812,0.172864,0.170065,-0.281966
72,0,1,1,1.15703,-0.630708,1.09823,-1.3117,1.33999,1.297,1.39262,1.19944,-0.399008
73,0,1,1,0.255549,-1.35436,-0.161634,0.549558,-0.287582,-0.206097,0.453862,0.193271,0.574412
74,0,1,1,0.291931,-0.462411,0.536595,-1.61512,0.278169,1.53314,1.04001,0.555549,0.357656
75,0,1,1,0.161405,-0.230151,0.608329,-1.8587,0.666462,2.11117,1.29811,0.888346,0.420571
76,0,1,1,-0.0457027,-0.719062,0.773188,0.136025,0.243137,2.59882,1.33476,1.15171,0.347647
77,0,1,1,0.333346,0.420362,0.286742,-0.151169,0.524528,0.175062,0.528679,0.491086,-0.20477
78,0,1,1,1.0531,-0.308493,0.261679,-0.331087,0.390372,0.616521,0.576766,0.859613,0.233316
79,0,1,1,0.194297,-1.01692,-0.200169,-0.0459462,-0.039726,0.297467,0.574588,0.210568,0.42119
80,0,1,1,0.520335,-0.651612,-0.23908,-0.76693,0.272614,0.104554,0.4642,0.426885,0.383929
